CronTime,LDA12080012000243,LDA12080012000228,LDA12080012000227,LDA12080012000230,LDA12080012000238,LDA12080012000237,LDA12080012000232,LDA12080012000236,LDA12080012000235,LDA12080012000234,LDA12080012000233,B2_FT1151_DACA_PV__Value,B2_TE1251_DACA_PV__Value,B1_FT1151_DACA_PV__Value,B2_Z_BEDT_DACA_PV__Value,B2_PT1281_DACA_PV__Value,B2_AT1011_DACA_PV__Value,B2_AT1012_DACA_PV__Value,B2_TE1212_DACA_PV__Value,B2_PT1061_DACA_PV__Value,B2_PT1071_DACA_PV__Value,B2_PT1111_DACA_PV__Value,B2_PT1112_DACA_PV__Value,B2_PT1211_DACA_PV__Value,B2_PT1212_DACA_PV__Value,B2_TZ1131ZT_DACA_PV__Value,B2_S051AIT_DACA_PV__Value,B2_AZ1011ZT_DACA_PV__Value,B2_S052AIT_DACA_PV__Value,B2_S052AVFD_CRT_DACA_PV__Value,B2_S052AVFD_FB_DACA_PV__Value,B2_PT1081_DACA_PV__Value,B2_PT1082_DACA_PV__Value,B2_PT1091_DACA_PV__Value,B2_PT1092_DACA_PV__Value,B2_TE1111_DACA_PV__Value,B2_TE1112_DACA_PV__Value,B2_Z_ZML_DACA_PV__Value,B2_FT1151_DIVA_OUT__Value,power_bin
2024-09-28 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-18 10:00:00,8.2014987510408,6.6840629416368,28.9340401901231,5915.65961635298,16.2649348330655,35.1740760578468,0.480271380110694,17.5682913765399,16.5702553115515,12.1960364220675,1.74611676486342,73.11064617463617,161.10406694386697,69.96422898128898,914.1730068607068,4.894578787941788,3.490413937629938,1.8033470923076922,435.63846361746363,8.234950507276508,8.287845428274428,321.59955904365904,214.8966711018711,-2.226964688378378,13.500708060415802,46.16203993762994,55.75863844074844,99.77838646569647,2.7193750457380457,21.45764785862786,10.156776291060291,29.21925097713098,29.28191004158004,29.03577471933472,28.986365987525986,149.90489604989605,143.3080081081081,10.131588773388774,0.13829564844074846,70.0
2024-08-08 18:00:00,8.4242071673402,6.23815769179533,28.899138729206,5912.8940565701805,19.6767858867755,35.346533831968806,0.36678705765668,17.7715692465584,15.7179827717556,10.443577091596145,0.8601576425171965,76.33882364197531,163.085033744856,76.40544691358025,918.0538491769547,4.932192228395062,2.9652373847736624,1.1981132432098764,440.4084139917696,8.32711063580247,8.383696504115226,337.140787654321,208.0962353909465,19.979867702777778,21.50780580102881,45.802604218107,55.82348565843621,99.77665880658436,3.045559775720165,21.50315296296296,10.100145257201646,32.380633045267494,32.42636989711934,32.10693057613169,32.03637057613169,119.20088230452674,137.45284526748972,10.469180757201647,0.13662892796296297,75.0
2024-05-16 02:00:00,7.40708930356548,5.87733796145875,28.0228592625932,5989.87077412732,17.1436063542136,36.9291722998348,0.10515247108307,19.1170947874418,16.5408592459066,8.8928946973111,1.27121826648641,84.11858702439024,160.8845019512195,88.43519390243902,932.8937248780487,4.923241263414634,5.174026692682927,3.2797041951219517,438.1177848780488,8.615657785365853,8.63217571707317,238.9621531707317,150.64747658536587,-42.91948611707317,-44.294776014634145,47.07834551219512,55.804517121951214,99.79600370731707,3.6059872097560977,22.125718780487805,17.094620731707316,29.665908829268293,29.732398097560974,29.494148682926827,29.461744634146342,164.51563365853656,158.42270780487806,11.015774048780488,0.1308551,80.0
2024-05-02 18:00:00,6.85810278920613,6.23236367080082,28.0749973254556,6025.97622410349,16.5515458831269,30.7257976099112,2.33527025545445,17.4048898147133,16.5954025508899,13.8855388663524,2.50155319226693,89.32116295218295,160.72922577962578,92.97938097713097,930.1501313929314,4.935954228690228,4.465548397089397,3.0460479209979208,443.59766465696464,8.312808667359668,8.33333534095634,339.71141829521827,248.09995135135136,1.3345405672349273,-6.815281665904366,48.607791683991685,58.03010201663202,99.83858586278586,3.911400927234927,22.165511891891892,17.43354970893971,30.881373056133057,30.936922162162162,30.664056444906446,30.584591767151768,160.54756070686068,153.53582453222452,12.002705031185032,0.13437693617463617,85.0
2024-09-12 10:00:00,8.499456767462377,6.386587429821311,28.16062668439795,5976.404999680691,17.747191393604,39.98555788469445,0.563693534780275,18.1941338258511,14.500082878022901,8.6719391227996,0.6192481276378224,92.48355034979423,162.883112345679,75.00652868312757,913.5163868312757,4.938891827160495,4.8781227181069955,2.623166349794239,440.70683662551437,8.42939920781893,8.458291500000001,296.9281619341563,201.15785576131688,-18.393213285514403,6.190044200534979,46.13545318930041,55.84148588477366,99.78482730452676,4.318410559670782,23.119101316872428,18.889645452674895,33.039238518518516,33.09054004115226,32.75081458847737,32.70669847736625,166.8169257201646,167.907608436214,12.40261353909465,0.13408644218106996,90.0
2024-09-07 18:00:00,9.30843035366643,6.449321518576056,27.34610861487281,6011.024768492123,17.19185127314441,42.17496658872859,1e-10,18.56523979924819,15.0270501402272,6.230938725902774,0.8099534727488531,96.58844901639344,162.513643647541,82.7412505737705,921.5947754098361,4.9570122049180325,3.574066950819672,2.167273881147541,442.0190788934426,8.127856770491803,8.230763340163934,379.6167401639344,285.28225758196726,16.683665539467214,36.402333581147545,46.91686477459017,57.01816354508197,99.77587563524591,4.349779762295082,23.120324344262297,18.95266006147541,33.75477971311476,33.7956549795082,33.39421956967213,33.3275062704918,161.45464200819674,163.92889405737705,13.139804959016395,0.1360625268442623,95.0
2024-08-30 18:00:00,8.58236569490108,6.16158525808594,28.4866221535835,5966.70448185989,18.8346168448254,38.763970438168585,1e-10,17.695608050716427,14.7774220723299,9.305291218207017,0.6230913757526292,100.62505020533881,161.75873757700205,86.06320958932238,923.3936277207391,4.949430675564682,3.779100427104723,1.8691230410677617,444.46292997946614,8.23803795687885,8.291660377823408,389.54708316221763,323.55939178644763,15.361143004640656,47.88855357084189,48.40457137577002,58.636102381930186,99.77686905544147,4.223707671457905,23.083316919917863,18.61108954825462,34.27701765913758,34.32236207392197,33.969380739219716,33.89645983572895,160.23461273100617,163.96553408624231,14.317592566735113,0.14228148501026694,100.0
2025-10-31 10:00:00,8.33055648117295,6.30651499767603,28.0881133122042,5989.649999999999,16.6228244027242,36.1806781737595,1.08824907210551,18.6407697019927,15.7399733342943,9.4717307484415,2.25577456668228,105.79494720812183,159.96161675126905,111.16307055837562,925.6284680203046,4.914572126903553,4.7355095126903555,6.701697994923857,440.1075969543147,9.263538497461928,9.265589345177665,341.57112131979693,334.3333979695431,4.833396074416243,12.608186044162437,42.31146390862944,61.75700137055837,99.96679497461929,8.210306634517767,26.121650101522842,25.222208578680203,33.187848121827415,33.264373045685275,32.88450868020304,32.81556055837564,154.96054771573606,170.32555228426398,15.604431979695432,0.14738115177664973,105.0
2025-11-12 10:00:00,9.02199266911029,6.17013143699479,28.1210695370235,6005.63,20.5882352922976,36.7610658124636,1.35228596389051,16.6660599883518,14.2053727431567,8.48864298194525,1.93833721607455,116.81101468926555,160.35436045197739,92.77183508474576,922.6898446327684,4.9010370564971755,4.9614893220338985,5.985091819209039,442.38442881355934,9.458927790960452,9.47640979661017,391.4722785310734,386.29339548022597,-12.262947252711864,-10.632898711864406,45.576781807909605,64.11135423728813,99.96146802259888,15.937388559322033,32.32698186440678,31.3137706779661,34.06644107344633,34.14689327683616,33.74958943502825,33.684951355932206,179.3795508474576,168.0657497175141,17.35929152542373,0.14868940621468926,115.0
2024-07-15 10:00:00,8.920949721804888,6.222411325854313,29.0897868505868,5915.699293395115,17.193719979308675,40.137145749369225,0.11841549552991873,19.413426721738674,15.686898376305049,7.138041132951725,0.31235128977655324,129.66127766393444,158.83924836065572,0.0,921.265349590164,3.4153799241803275,5.018696739754098,3.83225562295082,445.0092368852459,10.366536979508197,10.409073086065574,372.2591420081967,357.44856885245906,21.354795896434425,23.491373405860656,58.480171987704914,67.42657850409836,99.91744805327869,19.247275471311475,34.951005614754095,34.941086086065575,36.099772889344266,36.144005020491804,35.84347049180328,35.77013899590163,157.77043442622949,141.09172295081967,18.729935286885247,0.14448244549180328,125.0
2024-07-12 02:00:00,8.34026968536708,6.23618819647317,29.0146245258358,5892.86966741562,14.3315484010443,39.8549881096902,0.71674454958176,17.9236026807244,14.7572880115743,10.2605890276554,2.15522258992566,134.59218257261412,158.25256473029046,0.0,916.0886831950207,3.369392848547718,5.598768190871369,3.9526509626556017,410.5251518672199,10.276860008298755,10.340274460580913,374.95769688796685,361.5479296680498,11.499912171721991,9.485170155186722,59.12799977178423,68.01867612033195,99.7740139419087,19.71584512448133,35.2893760373444,35.38087402489627,35.92619385892116,35.96626400414937,35.68691340248963,35.613955373443986,160.63230269709544,141.2789151452282,19.24430163900415,0.14300128132780082,130.0
2024-07-21 10:00:00,9.822630668351247,6.423284840398453,28.61951875654592,5960.2701204065115,21.77078955960178,37.53385682181941,0.23420766459237083,18.111441224827335,14.552796388324333,7.329899921838702,0.4670084189961085,139.28031851851853,156.32557119341564,0.0,923.557831893004,3.09119421399177,5.511423362139918,4.368718769547325,439.02612119341563,10.447490864197531,10.487788621399178,295.07236790123454,270.8926076131687,-46.218911471193415,-27.96731946489712,60.22518738683128,69.26301855967077,99.79280353909465,24.610855514403294,39.383740823045265,38.10761524691358,36.58715230452675,36.63115417695473,36.31719236625515,36.253792839506175,160.08472160493827,142.71248497942386,19.30364973251029,0.13864617839506171,135.0
2024-07-26 02:00:00,9.232047412951962,6.00396966528756,28.54341437911176,5971.6187058076575,20.099656382504868,34.0232759285397,0.40875846872371835,18.484903960018833,16.527616940382536,9.156849412222057,1.2989389076082734,140.0874793456033,156.6629226993865,0.0,923.8679380368098,3.051658881390593,5.2000641533742336,4.175012564417178,435.8053310838446,10.591138486707566,10.680058282208588,377.59574764826175,343.9298527607362,-8.244405267239264,16.84223754,60.19804376278119,69.25717946830265,99.77293957055214,23.391861226993864,38.1247954805726,37.4652108588957,36.55270509202454,36.5976008588957,36.27305597137014,36.199686400817995,159.98774376278118,141.88279959100205,19.840440511247447,0.14165076952965236,140.0
2025-11-18 02:00:00,8.98109228823966,6.317441415425721,27.4980138735554,6017.82,20.4375770953711,35.7414140102577,0.8748295786535091,15.505096409790301,14.7958189962994,10.7511523729144,1.8941115367136299,149.9978811764706,157.5693888235294,0.0,917.6604005882352,4.987846847058823,6.479581064705882,5.884097941176471,443.45969352941177,10.017957752941177,9.997006805882352,580.0640676470588,624.0669864705883,16.10156769529412,36.72035789647059,62.5690225882353,80.18280723529412,99.97122,38.47278276470588,50.32728264705882,43.745442000000004,36.376870411764706,36.45275017647059,36.05102070588235,35.969344,171.42146352941177,152.46610294117647,21.971278470588235,0.14640144411764705,145.0
2025-11-17 18:00:00,9.436668743552104,6.5719832860123075,27.746753596661183,5994.692625698324,18.1013323207117,35.8229358793534,0.340674839969621,17.2637517630465,15.30866876424,10.9818813062819,2.18075295649344,150.1084625698324,158.6991837988827,0.0,934.5363446927374,4.91568956424581,6.043460413407821,5.803449793296089,440.83796592178766,10.473277318435755,10.435503519553073,512.9419430167598,552.3437234636872,-36.06418929608938,-22.25770568715084,60.83848279329609,77.4794774301676,99.96713569832401,33.22340916201117,46.6351938547486,41.767759162011174,35.91153240223464,35.98340284916201,35.577974189944136,35.529528324022344,171.505182122905,152.23443854748604,21.692162458100558,0.14456839553072626,150.0
